epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8254,5.02976,3.98924,1.79348,0.00717,0.01225,0.00014,2e-05,4.04936,3.66232,1.20765,0.00018,0.00018,0.00018
2,173.681,4.29299,3.09628,1.26084,0.01517,0.02592,0.00039,6e-05,3.92102,3.31776,1.04612,0.000376238,0.000376238,0.000376238
3,250.15,3.96104,2.47549,1.11594,0.01883,0.03218,0.00536,0.00149,3.6724,2.91041,1.01135,0.000568516,0.000568516,0.000568516
4,327.363,3.81427,2.23258,1.03053,0.09417,0.16092,0.04096,0.01112,3.52327,2.5728,1.1792,0.000756834,0.000756834,0.000756834
5,394.871,3.72215,2.11486,1.01017,0.20966,0.12162,0.06433,0.01928,3.40973,2.30477,1.23877,0.000941192,0.000941192,0.000941192
6,454.729,3.58186,2.04734,1.00039,0.26547,0.135,0.08288,0.02345,3.38881,2.25298,1.20086,0.00112159,0.00112159,0.00112159
7,515.968,3.5461,1.96151,0.95764,0.25961,0.13899,0.08676,0.0241,3.41614,2.23128,1.17952,0.00129803,0.00129803,0.00129803
8,577.862,3.47333,1.90537,0.95207,0.26143,0.17488,0.10824,0.03148,3.33707,2.02976,1.08274,0.00147051,0.00147051,0.00147051
9,656.572,3.47241,1.89081,0.93676,0.27359,0.18969,0.11651,0.03287,3.30297,1.97905,1.05553,0.00163902,0.00163902,0.00163902
10,723.235,3.42516,1.83964,0.93416,0.32719,0.19482,0.13548,0.03757,3.36267,2.04468,1.03224,0.00180358,0.00180358,0.00180358
11,787.455,3.31845,1.81982,0.93721,0.30126,0.18171,0.11826,0.02897,3.53291,2.19381,1.06362,0.001802,0.001802,0.001802
12,853.568,3.41675,1.80271,0.92339,0.28251,0.21304,0.13347,0.0347,3.43432,2.05691,1.03004,0.0017822,0.0017822,0.0017822
13,913.902,3.28627,1.78196,0.92874,0.32479,0.227,0.15383,0.04388,3.31865,1.90142,0.99707,0.0017624,0.0017624,0.0017624
14,999.536,3.3149,1.75069,0.91444,0.33228,0.24808,0.16427,0.04788,3.20495,1.79619,0.95287,0.0017426,0.0017426,0.0017426
15,1108.9,3.25669,1.73432,0.91468,0.33412,0.23754,0.15648,0.04479,3.20322,1.9101,0.93669,0.0017228,0.0017228,0.0017228
16,1210.79,3.28754,1.75574,0.91886,0.34836,0.23612,0.16989,0.05383,3.14282,1.75103,0.91856,0.001703,0.001703,0.001703
17,1305.35,3.29624,1.72963,0.88784,0.34572,0.1914,0.13895,0.04262,3.29997,1.79468,0.93412,0.0016832,0.0016832,0.0016832
18,1431.41,3.25356,1.74991,0.91409,0.3453,0.22985,0.17049,0.0523,3.15173,1.84122,0.92267,0.0016634,0.0016634,0.0016634
19,1495.24,3.18589,1.68508,0.89969,0.3621,0.21988,0.16636,0.05061,3.22612,1.769,0.93479,0.0016436,0.0016436,0.0016436
20,1569.11,3.30038,1.6906,0.89139,0.2981,0.18001,0.1239,0.03206,3.46466,1.7746,0.94704,0.0016238,0.0016238,0.0016238
21,1650.5,3.23311,1.68348,0.89726,0.29994,0.17516,0.1227,0.03489,3.42466,1.74844,0.94282,0.001604,0.001604,0.001604
22,1720.96,3.23776,1.67294,0.90357,0.38028,0.2364,0.18732,0.0598,3.06371,1.69449,0.91353,0.0015842,0.0015842,0.0015842
23,1788.76,3.28961,1.67231,0.88773,0.34493,0.23213,0.17285,0.05126,3.13931,1.67866,0.91699,0.0015644,0.0015644,0.0015644
24,1859.77,3.17494,1.63237,0.88755,0.36348,0.24934,0.18883,0.05885,3.08082,1.6479,0.91204,0.0015446,0.0015446,0.0015446
25,1923.27,3.11749,1.6328,0.89159,0.4027,0.26089,0.21053,0.06782,3.01288,1.62193,0.90716,0.0015248,0.0015248,0.0015248
26,1994.11,3.10445,1.63063,0.88732,0.42484,0.26574,0.21798,0.07099,3.014,1.67058,0.90733,0.001505,0.001505,0.001505
27,2085.16,3.09641,1.6132,0.89072,0.39155,0.24722,0.19626,0.05715,3.13436,1.70226,0.91481,0.0014852,0.0014852,0.0014852
28,2158.26,3.1859,1.62681,0.87661,0.38864,0.23954,0.19041,0.05511,3.15064,1.6533,0.91196,0.0014654,0.0014654,0.0014654
29,2220.43,3.06034,1.5989,0.89662,0.42542,0.26403,0.21793,0.07091,3.00896,1.59814,0.90248,0.0014456,0.0014456,0.0014456
30,2292.54,3.13659,1.60563,0.87061,0.41198,0.26631,0.22197,0.06864,3.02071,1.64974,0.90023,0.0014258,0.0014258,0.0014258
31,2361.43,2.98432,1.61931,0.90078,0.40402,0.27627,0.22573,0.07153,3.00525,1.7228,0.9018,0.001406,0.001406,0.001406
32,2424.32,2.98225,1.6189,0.89561,0.43051,0.28425,0.23987,0.07932,2.94541,1.69645,0.90322,0.0013862,0.0013862,0.0013862
33,2497.05,3.12748,1.60828,0.88564,0.44613,0.28653,0.24166,0.08102,2.93435,1.633,0.90597,0.0013664,0.0013664,0.0013664
34,2566.32,2.99101,1.59614,0.87908,0.44531,0.27798,0.24094,0.08055,2.95117,1.62599,0.90128,0.0013466,0.0013466,0.0013466
35,2662.47,3.09322,1.62298,0.88752,0.44004,0.29433,0.25363,0.08904,2.8934,1.64787,0.89894,0.0013268,0.0013268,0.0013268
36,2737.05,3.10329,1.60491,0.87229,0.44444,0.29222,0.2527,0.08959,2.90037,1.63073,0.90072,0.001307,0.001307,0.001307
37,2823.29,3.17448,1.61211,0.87385,0.43016,0.29422,0.25039,0.08698,2.90325,1.6162,0.89707,0.0012872,0.0012872,0.0012872
38,2892.48,2.92129,1.55561,0.88779,0.42124,0.25776,0.22042,0.07116,3.06176,1.66799,0.90725,0.0012674,0.0012674,0.0012674
39,2963.81,2.99607,1.56495,0.85666,0.43052,0.27371,0.23436,0.07758,3.00573,1.65483,0.89986,0.0012476,0.0012476,0.0012476
40,3027.23,2.86838,1.56202,0.89356,0.43007,0.2965,0.25328,0.08565,2.92393,1.67061,0.89823,0.0012278,0.0012278,0.0012278
41,3094.42,3.1122,1.56936,0.87534,0.43957,0.30276,0.25827,0.08891,2.89936,1.64985,0.90077,0.001208,0.001208,0.001208
42,3168.77,3.0391,1.58647,0.8972,0.41242,0.28026,0.22836,0.07212,3.00391,1.59046,0.90804,0.0011882,0.0011882,0.0011882
43,3236.77,2.88293,1.57078,0.89281,0.43468,0.27741,0.23946,0.07873,2.94792,1.5747,0.9064,0.0011684,0.0011684,0.0011684
44,3312.38,3.0768,1.56511,0.86604,0.47547,0.28852,0.26247,0.0926,2.85417,1.53629,0.89965,0.0011486,0.0011486,0.0011486
45,3380.93,2.97918,1.52925,0.86578,0.47859,0.28852,0.26655,0.09319,2.85695,1.53231,0.89735,0.0011288,0.0011288,0.0011288
46,3442.75,2.95054,1.55755,0.8761,0.4331,0.2646,0.22889,0.06878,3.03323,1.57383,0.90545,0.001109,0.001109,0.001109
47,3507.14,2.8878,1.50811,0.87787,0.438,0.26004,0.22883,0.0688,3.0396,1.58621,0.90535,0.0010892,0.0010892,0.0010892
48,3577.39,3.01835,1.54377,0.87178,0.46198,0.27912,0.25191,0.08242,2.93385,1.57056,0.89717,0.0010694,0.0010694,0.0010694
49,3645.06,3.01297,1.504,0.86144,0.46121,0.29279,0.26338,0.08795,2.89779,1.57072,0.89475,0.0010496,0.0010496,0.0010496
50,3717.48,3.06378,1.53321,0.84788,0.38377,0.25634,0.21365,0.06309,3.0752,1.57896,0.9071,0.0010298,0.0010298,0.0010298
51,3780.41,2.91757,1.52401,0.87318,0.37323,0.25263,0.20268,0.0599,3.10615,1.57861,0.90876,0.00101,0.00101,0.00101
52,3845.13,3.00356,1.53747,0.86423,0.41163,0.272,0.23183,0.07591,2.97564,1.54925,0.89958,0.0009902,0.0009902,0.0009902
53,3911.66,2.96029,1.51522,0.8645,0.45524,0.29989,0.26088,0.09432,2.85075,1.52379,0.89218,0.0009704,0.0009704,0.0009704
54,3985.61,3.02275,1.51983,0.87079,0.46751,0.30362,0.27037,0.09406,2.85745,1.51184,0.89477,0.0009506,0.0009506,0.0009506
55,4045.65,2.926,1.51247,0.87746,0.4462,0.29963,0.26057,0.08456,2.91088,1.51982,0.90122,0.0009308,0.0009308,0.0009308
56,4118.06,2.89406,1.4778,0.85628,0.45316,0.28938,0.25434,0.08311,2.92215,1.52471,0.90046,0.000911,0.000911,0.000911
57,4176.43,2.82777,1.49789,0.87867,0.47684,0.28995,0.26416,0.08815,2.88036,1.52351,0.89783,0.0008912,0.0008912,0.0008912
58,4242.43,2.85212,1.51629,0.88919,0.50558,0.30447,0.28166,0.10019,2.83652,1.50748,0.89909,0.0008714,0.0008714,0.0008714
59,4301.92,2.86835,1.48517,0.87323,0.49532,0.30647,0.27849,0.09784,2.82865,1.49017,0.89511,0.0008516,0.0008516,0.0008516
60,4365.35,2.94823,1.51554,0.85455,0.48007,0.30348,0.27171,0.09375,2.86519,1.49312,0.89925,0.0008318,0.0008318,0.0008318
61,4443.75,2.91238,1.50298,0.86761,0.47906,0.30846,0.27733,0.09598,2.86335,1.4966,0.89853,0.000812,0.000812,0.000812
62,4514.73,2.88587,1.50719,0.86577,0.49715,0.32441,0.30096,0.11156,2.78166,1.47486,0.89408,0.0007922,0.0007922,0.0007922
63,4576.56,2.90313,1.49061,0.86254,0.4985,0.3236,0.3016,0.10998,2.79773,1.47511,0.89636,0.0007724,0.0007724,0.0007724
64,4643.41,2.95968,1.48761,0.85427,0.4803,0.31416,0.28892,0.10113,2.82472,1.47495,0.89359,0.0007526,0.0007526,0.0007526
65,4705.41,2.84428,1.48303,0.86468,0.44194,0.28881,0.25497,0.08372,2.93356,1.49259,0.90092,0.0007328,0.0007328,0.0007328
66,4766.3,2.88152,1.50544,0.87109,0.44836,0.29492,0.26061,0.08187,2.98787,1.5134,0.9027,0.000713,0.000713,0.000713
67,4827.07,2.8379,1.49381,0.86524,0.47363,0.30874,0.27902,0.09655,2.87932,1.49981,0.89601,0.0006932,0.0006932,0.0006932
68,4910.98,2.91456,1.46448,0.85426,0.47439,0.31672,0.28584,0.10465,2.82058,1.48663,0.89382,0.0006734,0.0006734,0.0006734
69,4992.21,2.88255,1.4713,0.8617,0.46721,0.317,0.2848,0.1051,2.81232,1.48807,0.89516,0.0006536,0.0006536,0.0006536
70,5062.04,2.86339,1.48094,0.84967,0.45725,0.3002,0.27185,0.09198,2.87242,1.49462,0.89628,0.0006338,0.0006338,0.0006338
71,5137.11,2.86807,1.44854,0.85391,0.47952,0.30248,0.2762,0.09463,2.84639,1.4769,0.89469,0.000614,0.000614,0.000614
